Age,Photos,Location
21,258,CA
20,180,AZ
35,95,CA
38,100,NV
24,70,OR
40,80,CA
45,53,CA
28,201,NV
23,250,CA
20,320,NV
25,125,CA
25,145,CA
26,155,CA
29,143,CA
27,203,CA
20,3830,CA
21,1425,AZ
25,861,OR
17,2301,OR
20,2445,AZ
23,3512,CA
20,2976,AZ
21,3606,OR
21,2171,AZ
22,1984,CA
22,1142,AZ
21,639,CA
21,2931,CA
27,11413,OR
24,143,OR
20,3244,NV
24,797,CA
26,640,CA
22,1678,AZ
21,148,OR
21,5955,AZ
26,563,CA
30,4550,AZ
44,224,OR
22,491,AZ
26,584,OR
18,381,OR
17,51,CA
33,116,AZ
24,650,OR
23,48,AZ
35,107,CA
38,39,CA
45,95,AZ
24,133,OR
17,109,AZ
36,41,NV
18,235,AZ
15,477,OR
14,463,NV
24,327,OR
18,842,CA
21,191,CA
20,630,AZ
23,6389,CA
21,549,OR
20,757,AZ
21,1050,AZ
20,242,CA
18,1905,NV
21,733,CA
21,1382,OR
21,339,CA
22,30,AZ
20,179,AZ
19,78,CA
18,99,CA
20,126,CA
21,181,NV
19,99,NV
21,2845,AZ
19,279,CA
20,47,OR
22,2338,AZ
22,62,OR
18,680,CA
22,56,NV
51,5,OR
37,68,AZ
22,5499,CA
22,1254,CA
25,505,AZ
26,254,CA
18,1058,NV
26,185,OR
48,25,AZ
50,30,CA
19,159,CA
26,105,CA
24,334,OR
20,166,CA
22,492,OR
29,257,AZ
35,385,OR
32,276,CA
20,81,OR
21,365,CA
20,86,AZ
29,927,CA
32,1126,CA
19,871,NV
27,327,AZ
21,228,CA
22,1831,CA
23,1724,CA
21,49,CA
25,11001,CA
20,5,NV
21,214,OR
21,40,OR
21,95,AZ
35,2682,OR
20,204,CA
24,506,CA
22,247,CA
18,2810,CA
22,1011,OR
18,959,CA
29,156,CA
21,1235,NV
20,307,OR
20,383,OR
22,847,OR
17,279,CA
25,64,OR
21,126,OR
19,430,OR
23,576,CA
20,420,CA
21,1251,CA
22,0,NV
24,1984,OR
35,368,OR
19,505,OR
25,265,CA
19,1798,CA
21,636,AZ
21,152,AZ
22,1285,NV
19,207,OR
20,1008,AZ
22,594,OR
22,535,OR
27,725,NV
23,187,CA
22,1688,OR
22,487,CA
20,258,OR
21,1718,CA
21,6363,AZ
20,2916,NV
22,157,CA
23,2279,CA
22,454,OR
24,683,NV
25,93,OR
24,412,OR
24,380,OR
24,70,OR
25,69,NV
26,229,OR
23,402,CA
23,70,CA
24,3476,CA
24,61,CA
22,224,CA
24,640,CA
24,9651,CA
21,81,CA
25,1318,CA
22,49,NV
25,696,CA
26,1276,OR
25,2479,CA
22,2001,OR
22,463,OR
23,289,NV
22,503,OR
24,181,CA
22,234,CA
23,256,CA
23,467,CA
25,453,AZ
19,563,OR
20,332,OR
23,167,CA
22,189,NV
21,163,CA
21,423,AZ
22,475,CA
23,758,OR
25,235,CA
25,372,CA
26,181,CA
24,342,CA
23,670,OR
25,1254,AZ
25,840,CA
17,147,AZ
22,998,OR
22,1779,AZ
44,92,OR
20,651,CA
22,419,AZ
22,831,AZ
23,252,CA
22,776,CA
22,418,AZ
21,268,NV
24,211,AZ
22,1282,CA
56,438,OR
22,1259,OR
27,2587,CA
22,479,OR
22,2479,OR
23,89,OR
24,66,NV
24,518,CA
26,5110,CA
24,1163,OR
25,1520,CA
21,857,CA
32,56,AZ
26,239,CA
21,47,NV
20,160,AZ
21,239,CA
24,433,CA
34,196,AZ
35,104,CA
29,148,AZ
21,222,AZ
25,1842,NV
26,1055,NV
25,5,CA
22,128,AZ
23,2508,CA
26,640,CA
22,469,OR
22,2757,AZ
22,4612,OR
48,804,CA
31,1453,OR
21,1325,AZ
21,791,NV
15,39,OR
22,181,OR
19,795,CA
22,315,OR
24,3403,OR
21,425,AZ
21,130,OR
32,1104,AZ
19,2176,AZ
22,2075,OR
22,30,OR
29,992,CA
30,576,AZ
33,971,AZ
32,2257,CA
30,486,CA
25,757,OR
25,323,CA
21,38,CA
25,172,CA
39,129,OR
29,376,NV
44,52,CA
32,113,CA
25,573,CA
27,499,OR
24,33,OR
29,909,OR
44,35,AZ
25,1635,CA
35,744,CA
30,471,CA
33,2539,NV
34,592,CA
31,149,NV
21,1291,AZ
20,282,NV
20,6483,OR
20,468,NV
16,17,OR
21,30,OR
20,353,OR
19,580,CA
20,144,NV
20,147,OR
20,414,CA
20,265,NV
20,58,CA
21,188,CA
20,34,CA
21,342,AZ
21,1987,OR
21,15,OR
21,241,AZ
21,627,CA
19,166,AZ
21,59,AZ
20,163,OR
20,211,AZ
27,1406,AZ
20,20,AZ
51,303,OR
20,484,OR
30,57,OR
18,1274,CA
20,861,CA
20,37,CA
20,27,AZ
19,538,NV
19,57,AZ
31,861,NV
20,1908,NV
51,98,NV
21,266,OR
19,61,NV
21,27,AZ
20,64,CA
46,125,OR
20,62,CA
27,99,CA
20,616,CA
23,41,NV
23,44,OR
19,425,CA
20,232,NV
81,2,CA
36,51,CA
22,356,AZ
57,4,OR
24,76,NV
20,425,OR
20,34,NV
19,11995,OR
18,4112,CA
25,207,OR
28,45,OR
26,566,CA
20,531,CA
21,1173,OR
24,2376,AZ
25,74,CA
34,89,NV
16,3002,CA
29,200,AZ
18,1533,CA
26,1985,AZ
22,538,CA
22,1414,AZ
34,578,CA
18,1267,OR
45,17,NV
25,234,OR
23,678,NV
22,274,AZ
20,468,OR
22,110,CA
20,290,OR
22,2372,AZ
19,833,OR
21,109,AZ
22,2161,CA
24,685,OR
20,861,OR
34,341,CA
23,234,CA
21,246,NV
26,251,AZ
21,321,OR
20,1123,CA
19,255,CA
18,672,CA
21,643,CA
22,876,AZ
25,921,AZ
23,2828,CA
21,893,CA
23,370,NV
24,1260,AZ
21,555,CA
21,402,CA
24,115,OR
25,2298,NV
22,921,AZ
21,514,CA
25,717,NV
23,4296,OR
25,2199,NV
22,478,OR
32,534,CA
45,357,CA
23,478,CA
21,514,OR
23,918,NV
22,670,NV
19,311,AZ
23,811,CA
25,241,CA
25,111,CA
25,499,NV
22,232,AZ
22,327,CA
24,219,CA
19,465,CA
